"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",59543
"af","Africa","afben","Benin","ben",4811769
"af","Africa","afbfa","Burkina Faso","bfa",8968
"af","Africa","afciv","Cote d'Ivoire","civ",44405
"af","Africa","afcmr","Cameroon","cmr",67171
"af","Africa","afcod","Democratic Republic of the Congo","cod",8831346
"af","Africa","afcog","Republic of the Congo","cog",744
"af","Africa","afcpv","Cape Verde","cpv",198566
"af","Africa","afdza","Algeria","dza",145837382
"af","Africa","afegy","Egypt","egy",46064816
"af","Africa","afeth","Ethiopia","eth",2587695
"af","Africa","afgab","Gabon","gab",1097
"af","Africa","afgha","Ghana","gha",208250.99999999997
"af","Africa","afgin","Guinea","gin",137647
"af","Africa","afken","Kenya","ken",27631
"af","Africa","aflby","Libya","lby",3551
"af","Africa","afmar","Morocco","mar",403681532.99999994
"af","Africa","afmli","Mali","mli",323386
"af","Africa","afmoz","Mozambique","moz",9329
"af","Africa","afmrt","Mauritania","mrt",17668
"af","Africa","afmus","Mauritius","mus",1476
"af","Africa","afnam","Namibia","nam",23879088
"af","Africa","afner","Niger","ner",1162906
"af","Africa","afnga","Nigeria","nga",189675
"af","Africa","afsdn","Sudan","sdn",19175
"af","Africa","afsen","Senegal","sen",33338310
"af","Africa","afsom","Somalia","som",179711
"af","Africa","afsyc","Seychelles","syc",2497
"af","Africa","aftcd","Chad","tcd",94226
"af","Africa","aftun","Tunisia","tun",60335429
"af","Africa","aftza","Tanzania","tza",12649108
"af","Africa","afuga","Uganda","uga",1798
"af","Africa","afzaf","South Africa","zaf",54472749
"af","Africa","afzmb","Zambia","zmb",20224
"af","Africa","afzwe","Zimbabwe","zwe",474948
"as","Asia","asafg","Afghanistan","afg",978893493
"as","Asia","asare","United Arab Emirates","are",688202585
"as","Asia","asarm","Armenia","arm",28382140
"as","Asia","asaze","Azerbaijan","aze",382249359
"as","Asia","asbgd","Bangladesh","bgd",2565856
"as","Asia","asbhr","Bahrain","bhr",12586359
"as","Asia","asbrn","Brunei","brn",539675861.0000001
"as","Asia","aschn","China","chn",13384475840
"as","Asia","ascyp","Cyprus","cyp",182855711
"as","Asia","asgeo","Georgia","geo",457558462
"as","Asia","ashkg","Hong Kong","hkg",60216455
"as","Asia","asidn","Indonesia","idn",472280512
"as","Asia","asind","India","ind",1980466854
"as","Asia","asirn","Iran","irn",318033068
"as","Asia","asirq","Iraq","irq",2013217
"as","Asia","asisr","Israel","isr",833437324
"as","Asia","asjor","Jordan","jor",642028
"as","Asia","asjpn","Japan","jpn",790822971.9999999
"as","Asia","askgz","Kyrgyzstan","kgz",809200044
"as","Asia","askhm","Cambodia","khm",180757
"as","Asia","askor","South Korea","kor",4655203283.999999
"as","Asia","askwt","Kuwait","kwt",2714051
"as","Asia","aslbn","Lebanon","lbn",25925140
"as","Asia","aslka","Sri Lanka","lka",20371600
"as","Asia","asmdv","Maldives","mdv",23984
"as","Asia","asmmr","Burma","mmr",20217
"as","Asia","asmng","Mongolia","mng",92993918
"as","Asia","asmys","Malaysia","mys",1287461
"as","Asia","asnpl","Nepal","npl",31371.000000000004
"as","Asia","asomn","Oman","omn",590422
"as","Asia","aspak","Pakistan","pak",45872392
"as","Asia","asphl","Philippines","phl",12342951
"as","Asia","aspse","Palestine","pse",233207
"as","Asia","asqat","Qatar","qat",5562892
"as","Asia","assau","Saudi Arabia","sau",4695144
"as","Asia","assgp","Singapore","sgp",1884543325
"as","Asia","astha","Thailand","tha",68509985
"as","Asia","astjk","Tajikistan","tjk",882304874
"as","Asia","astkm","Turkmenistan","tkm",340382366
"as","Asia","astls","Timor-Leste","tls",1
"as","Asia","astur","Turkey","tur",5008185394
"as","Asia","astwn","Chinese Taipei","twn",43754785
"as","Asia","asuzb","Uzbekistan","uzb",3678945203
"as","Asia","asvnm","Vietnam","vnm",128942432
"eu","Europe","eualb","Albania","alb",7311748.000000001
"eu","Europe","euaut","Austria","aut",1439287444
"eu","Europe","eubel","Belgium","bel",274891273
"eu","Europe","eubgr","Bulgaria","bgr",144304983
"eu","Europe","eubih","Bosnia and Herzegovina","bih",26495686
"eu","Europe","eublr","Belarus","blr",154295091
"eu","Europe","euche","Switzerland","che",3738830537
"eu","Europe","eucze","Czechia","cze",572345667
"eu","Europe","eudeu","Germany","deu",1096687302
"eu","Europe","eudnk","Denmark","dnk",38343184
"eu","Europe","euesp","Spain","esp",2643686039
"eu","Europe","euest","Estonia","est",195034301
"eu","Europe","eufin","Finland","fin",129170490
"eu","Europe","eufra","France","fra",3182962659
"eu","Europe","eugbr","United Kingdom","gbr",8006286526
"eu","Europe","eugib","Gibraltar","gib",6202682
"eu","Europe","eugrc","Greece","grc",1789349310
"eu","Europe","euhrv","Croatia","hrv",327623521
"eu","Europe","euhun","Hungary","hun",207479756
"eu","Europe","euirl","Ireland","irl",720428
"eu","Europe","euisl","Iceland","isl",5467122
"eu","Europe","euita","Italy","ita",12448587500
"eu","Europe","eultu","Lithuania","ltu",478827146
"eu","Europe","eulux","Luxembourg","lux",1848374
"eu","Europe","eulva","Latvia","lva",175774950
"eu","Europe","eumda","Moldova","mda",44416323
"eu","Europe","eumkd","North Macedonia","mkd",9573160
"eu","Europe","eumlt","Malta","mlt",245088592.00000003
"eu","Europe","eumne","Montenegro","mne",14414927
"eu","Europe","eunld","Netherlands","nld",5477252889.999999
"eu","Europe","eunor","Norway","nor",37073875
"eu","Europe","eupol","Poland","pol",802568669
"eu","Europe","euprt","Portugal","prt",141005
"eu","Europe","eurou","Romania","rou",2412374697
"eu","Europe","eurus","Russia","rus",8779781489
"eu","Europe","eusrb","Serbia","srb",16873949
"eu","Europe","eusvk","Slovakia","svk",71258140
"eu","Europe","eusvn","Slovenia","svn",61650390
"eu","Europe","euswe","Sweden","swe",129795430
"eu","Europe","euukr","Ukraine","ukr",310522556
"na","North America","nabhs","Bahamas","bhs",195047
"na","North America","nabrb","Barbados","brb",703
"na","North America","nacan","Canada","can",875398674
"na","North America","nacri","Costa Rica","cri",6380
"na","North America","nacub","Cuba","cub",387
"na","North America","nadom","Dominican Republic","dom",1735668
"na","North America","nagtm","Guatemala","gtm",666.0000000000001
"na","North America","najam","Jamaica","jam",143.00000000000003
"na","North America","namex","Mexico","mex",1837701.0000000002
"na","North America","napan","Panama","pan",115619835
"na","North America","naslv","El Salvador","slv",396958
"na","North America","natto","Trinidad and Tobago","tto",861909
"na","North America","nausa","United States","usa",2243430823
"oc","Oceania","ocaus","Australia","aus",12351213
"oc","Oceania","ocnzl","New Zealand","nzl",3248056
"oc","Oceania","ocpng","Papua New Guinea","png",86557
"oc","Oceania","ocpyf","French Polynesia","pyf",3665
"sa","South America","saarg","Argentina","arg",28984711
"sa","South America","sabol","Bolivia","bol",54399.00000000001
"sa","South America","sabra","Brazil","bra",152917763
"sa","South America","sachl","Chile","chl",86571639
"sa","South America","sacol","Colombia","col",5104757
"sa","South America","saecu","Ecuador","ecu",520363
"sa","South America","saguy","Guyana","guy",80785.99999999999
"sa","South America","saper","Peru","per",662439
"sa","South America","sapry","Paraguay","pry",16361711
"sa","South America","saury","Uruguay","ury",4056418
