"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",42798.99999999999
"af","Africa","afbwa","Botswana","bwa",36.00000000000001
"af","Africa","afciv","Cote d'Ivoire","civ",496350
"af","Africa","afdza","Algeria","dza",1296314
"af","Africa","afegy","Egypt","egy",4517886
"af","Africa","afeth","Ethiopia","eth",1755862
"af","Africa","afgab","Gabon","gab",22024
"af","Africa","afgha","Ghana","gha",2048
"af","Africa","afken","Kenya","ken",8148074.000000001
"af","Africa","aflbr","Liberia","lbr",13972.999999999998
"af","Africa","afmar","Morocco","mar",179702
"af","Africa","afnga","Nigeria","nga",1236560
"af","Africa","afsen","Senegal","sen",1741030
"af","Africa","afsyc","Seychelles","syc",73914
"af","Africa","aftun","Tunisia","tun",7182932
"af","Africa","afuga","Uganda","uga",646756
"af","Africa","afzaf","South Africa","zaf",43847
"af","Africa","afzwe","Zimbabwe","zwe",198810
"as","Asia","asafg","Afghanistan","afg",163914679
"as","Asia","asare","United Arab Emirates","are",22239065
"as","Asia","asarm","Armenia","arm",43487110
"as","Asia","asaze","Azerbaijan","aze",129228829
"as","Asia","asbgd","Bangladesh","bgd",16775424
"as","Asia","asbhr","Bahrain","bhr",122342
"as","Asia","asbrn","Brunei","brn",8386
"as","Asia","aschn","China","chn",2701530993
"as","Asia","ascyp","Cyprus","cyp",287672332
"as","Asia","asgeo","Georgia","geo",53976219
"as","Asia","ashkg","Hong Kong","hkg",17114585
"as","Asia","asidn","Indonesia","idn",21093837
"as","Asia","asind","India","ind",24189483
"as","Asia","asirn","Iran","irn",975136087
"as","Asia","asisr","Israel","isr",663625064.9999999
"as","Asia","asjor","Jordan","jor",32076216
"as","Asia","asjpn","Japan","jpn",146790735
"as","Asia","askgz","Kyrgyzstan","kgz",228800313
"as","Asia","askor","South Korea","kor",214295385
"as","Asia","askwt","Kuwait","kwt",5794
"as","Asia","aslbn","Lebanon","lbn",20494662
"as","Asia","asmng","Mongolia","mng",48598877
"as","Asia","asmys","Malaysia","mys",5189829
"as","Asia","asomn","Oman","omn",295321
"as","Asia","aspak","Pakistan","pak",2600083
"as","Asia","asphl","Philippines","phl",19072813
"as","Asia","asqat","Qatar","qat",1421422
"as","Asia","assau","Saudi Arabia","sau",75269055
"as","Asia","assgp","Singapore","sgp",280731
"as","Asia","assyr","Syria","syr",26172458
"as","Asia","astha","Thailand","tha",30618895
"as","Asia","astjk","Tajikistan","tjk",150609481
"as","Asia","astkm","Turkmenistan","tkm",17331731
"as","Asia","astur","Turkey","tur",329363694
"as","Asia","astwn","Chinese Taipei","twn",24081031
"as","Asia","asuzb","Uzbekistan","uzb",242564009
"as","Asia","asvnm","Vietnam","vnm",52420043
"as","Asia","asyem","Yemen","yem",4719831
"eu","Europe","eualb","Albania","alb",1031778
"eu","Europe","euaut","Austria","aut",564295062
"eu","Europe","eubel","Belgium","bel",40395969
"eu","Europe","eubgr","Bulgaria","bgr",4455776
"eu","Europe","eubih","Bosnia and Herzegovina","bih",3753
"eu","Europe","eublr","Belarus","blr",29464429
"eu","Europe","euche","Switzerland","che",5547339088
"eu","Europe","eucze","Czechia","cze",137962987
"eu","Europe","eudeu","Germany","deu",575974851
"eu","Europe","eudnk","Denmark","dnk",60231265
"eu","Europe","euesp","Spain","esp",543426708.9999999
"eu","Europe","euest","Estonia","est",147716928
"eu","Europe","eufin","Finland","fin",182734043
"eu","Europe","eufra","France","fra",2694689176
"eu","Europe","eugbr","United Kingdom","gbr",354487722
"eu","Europe","eugib","Gibraltar","gib",93245535.99999999
"eu","Europe","eugrc","Greece","grc",274615308
"eu","Europe","euhrv","Croatia","hrv",21651216
"eu","Europe","euhun","Hungary","hun",80602917
"eu","Europe","euirl","Ireland","irl",221310075.99999997
"eu","Europe","euita","Italy","ita",3888645074.0000005
"eu","Europe","eultu","Lithuania","ltu",80979436
"eu","Europe","eulux","Luxembourg","lux",167359
"eu","Europe","eulva","Latvia","lva",112244957
"eu","Europe","eumda","Moldova","mda",54194858
"eu","Europe","eumkd","North Macedonia","mkd",19271861.999999996
"eu","Europe","eumlt","Malta","mlt",627
"eu","Europe","eunld","Netherlands","nld",870967378
"eu","Europe","eunor","Norway","nor",8883433
"eu","Europe","eupol","Poland","pol",601403128
"eu","Europe","euprt","Portugal","prt",324659865
"eu","Europe","eurou","Romania","rou",471792603
"eu","Europe","eurus","Russia","rus",2945623363
"eu","Europe","eusvk","Slovakia","svk",45819073
"eu","Europe","eusvn","Slovenia","svn",16316759
"eu","Europe","euswe","Sweden","swe",26275369
"eu","Europe","euukr","Ukraine","ukr",204298849
"eu","Europe","euyug","Yugoslavia","yug",2575696
"na","North America","nabhs","Bahamas","bhs",12889495
"na","North America","nacan","Canada","can",545280678
"na","North America","nacri","Costa Rica","cri",831786.9999999999
"na","North America","nacub","Cuba","cub",7639383.000000001
"na","North America","nadma","Dominica","dma",588854
"na","North America","nagtm","Guatemala","gtm",2493397
"na","North America","nahti","Haiti","hti",285758
"na","North America","namex","Mexico","mex",2412195
"na","North America","nanic","Nicaragua","nic",1914671
"na","North America","napan","Panama","pan",837468.0000000001
